Company,Origin,Ref,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,Latitude,Longitude
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome,46.227638,2.213749
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo,46.227638,2.213749
A. Morin,Atsane,1676,2015,70%,France,3, ,Togo,46.227638,2.213749
A. Morin,Akata,1680,2015,70%,France,3.5, ,Togo,46.227638,2.213749
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru,46.227638,2.213749
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela,46.227638,2.213749
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba,46.227638,2.213749
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela,46.227638,2.213749
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,46.227638,2.213749
A. Morin,Pablino,1319,2014,70%,France,4, ,Peru,46.227638,2.213749
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama,46.227638,2.213749
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar,46.227638,2.213749
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil,46.227638,2.213749
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,46.227638,2.213749
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia,46.227638,2.213749
A. Morin,Birmanie,1015,2013,70%,France,3, ,Burma,46.227638,2.213749
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea,46.227638,2.213749
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela,46.227638,2.213749
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru,46.227638,2.213749
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru,46.227638,2.213749
A. Morin,Chanchamayo Province,1019,2013,63%,France,4, ,Peru,46.227638,2.213749
A. Morin,Bolivia,797,2012,70%,France,3.5, ,Bolivia,46.227638,2.213749
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,46.227638,2.213749
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,37.09024,-95.712891
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,37.09024,-95.712891
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,-17.713371,178.065032
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,-17.713371,178.065032
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji,-17.713371,178.065032
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji,-17.713371,178.065032
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,-1.831239,-78.18340599999999
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero (Arriba),Ecuador,-1.831239,-78.18340599999999
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico,23.634501,-102.552784
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,46.818188,8.227511999999999
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,46.818188,8.227511999999999
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,46.818188,8.227511999999999
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad,46.227638,2.213749
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam,46.227638,2.213749
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar,46.227638,2.213749
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela,46.227638,2.213749
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5, ,Peru,46.227638,2.213749
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador,52.132633,5.291265999999999
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,52.132633,5.291265999999999
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam,52.132633,5.291265999999999
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania,52.132633,5.291265999999999
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua,37.09024,-95.712891
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3, ,Peru,37.09024,-95.712891
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5, ,Bolivia,37.09024,-95.712891
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5, ,Peru,37.09024,-95.712891
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador,37.09024,-95.712891
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5, ,Venezuela,37.09024,-95.712891
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic,37.09024,-95.712891
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia,37.09024,-95.712891
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3, ,Bolivia,37.09024,-95.712891
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru,37.09024,-95.712891
Amano,Morobe,725,2011,70%,U.S.A.,4, ,Papua New Guinea,37.09024,-95.712891
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,37.09024,-95.712891
Amano,Guayas,470,2010,70%,U.S.A.,4, ,Ecuador,37.09024,-95.712891
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela,37.09024,-95.712891
Amano,Montanya,363,2009,70%,U.S.A.,3, ,Venezuela,37.09024,-95.712891
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia,37.09024,-95.712891
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar,37.09024,-95.712891
Amano,Cuyagua,147,2007,70%,U.S.A.,3, ,Venezuela,37.09024,-95.712891
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,37.09024,-95.712891
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana,40.46366700000001,-3.74922
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador,40.46366700000001,-3.74922
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador,40.46366700000001,-3.74922
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana,40.46366700000001,-3.74922
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru,-9.189967,-75.015152
